"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/03/31","","-8555","我が家の財布","住宅","電気代","","0","OZSrBvZk00bBNGKM8v2ENQ"
"1","2023/03/31","預金利息","75","楽天銀行","収入","その他入金","","0","g3pS4li078XL7Yh-sVY3xg"
"1","2023/03/30","イオンリテール","-100","三井住友カード","食費","外食","コーヒー","0","WpZ3MO9_Cc2Rk1UUqm9reA"
"1","2023/03/30","インザイシシユツサンコソダテオウエンキユウフキン","100000","楽天銀行","収入","その他入金","印西市出産子育て応援給付金","0","2L-g-Lt1GVznrOD0YvvSmQ"
"1","2023/03/29","イオンリテール","-380","三井住友カード","食費","外食","サンマルク","0","FiKeK4Ije5ep7wHdNrLSFQ"
"1","2023/03/28","VISTAR オンラインショッ ラクテンイチバ780072","-3991","楽天カード","特別な支出","子育て用品","ベッドガード","0","jF9z4ySr9RIlEB6UtJTVcw"
"1","2023/03/27","ウエルシア白井十余一","-990","三井住友カード","日用品","日用品","","0","-gz3MnLW9JlyRvF6isk72A"
"1","2023/03/27","ウエルシア","-1380","我が家の財布","日用品","日用品","","0","m6Xl_YXe69fq2l1mfbpBnQ"
"0","2023/03/27","ラクテンカ-ドサ-ビス","-101541","楽天銀行","現金・カード","カード引き落とし","","1","WV2O_WU8ApJjpMbbKHKWlA"
"1","2023/03/27","ローンご返済","-8891","みずほ銀行(ゆーこ)","住宅","ローン返済","","0","-b3VqMHjQ_zas-eV5-6XqA"
"1","2023/03/27","ローンご返済","-9713","みずほ銀行(ゆーこ)","住宅","ローン返済","","0","LZ_P3z-cAWmtBbSPayRhNQ"
"1","2023/03/27","ローンご返済","-8774","みずほ銀行(ゆーこ)","住宅","ローン返済","","0","uQVkpgz-U9sMbin9EPftBA"
"1","2023/03/27","ローンご返済","-2599","みずほ銀行(ゆーこ)","住宅","ローン返済","","0","keQ08fmfbOENtiQQclCUOA"
"1","2023/03/27","ローンご返済","-19633","みずほ銀行(ゆーこ)","住宅","ローン返済","","0","wH1PFlOwas41hK5f9qsTpg"
"1","2023/03/27","ローンご返済","-13269","みずほ銀行(しゅーご)","住宅","ローン返済","","0","8OMS2f2S9Ny0w-2odLHP-A"
"1","2023/03/27","ローンご返済","-14501","みずほ銀行(しゅーご)","住宅","ローン返済","","0","9iqTJfSHiloKaY2S32-MgQ"
"1","2023/03/27","ローンご返済","-13161","みずほ銀行(しゅーご)","住宅","ローン返済","","0","_FXC0tE2eUo28mvN5NhHnA"
"1","2023/03/27","ローンご返済","-3954","みずほ銀行(しゅーご)","住宅","ローン返済","","0","R2570GvvXCc4heYXoY_KYQ"
"1","2023/03/27","ローンご返済","-29533","みずほ銀行(しゅーご)","住宅","ローン返済","","0","1BsmT9USJPU49YQ0acArWQ"
"1","2023/03/26","VIN ROSE","-2300","三井住友カード","特別な支出","プレゼント","アップルパイ","0","1l3dHeLm7DBpUpJD5u4-zw"
"0","2023/03/26","普通 円 代表口座","-134279","住信SBIネット銀行","住宅","生活費","","1","EHcGRJF3yTBrDKZmCigCNw"
"0","2023/03/26","普通 円 代表口座","-1844","住信SBIネット銀行","住宅","生活費","","1","Aod34bCCMdmwCM7GXh-VnA"
"1","2023/03/24","ジョイフル本田 千葉ニュータウン店","-437","三井住友カード","日用品","DIY用品","フック","0","-sj0MixFWtnwzxLfhdKARQ"
"1","2023/03/24","AMAZON.CO.JP","-900","三井住友カード","日用品","DIY用品","水平器","0","lBrprC9xu_Nymh1EA7k07g"
"1","2023/03/23","タイヨー ビッグハウス印西店","-1243","三井住友カード","食費","食費","","0","LL2kuhVh4tcrFxTJIb4OVQ"
"1","2023/03/23","タイヨー ビッグハウス印西店","-622","三井住友カード","食費","食費","","0","Mooe2lWvgY42gpjzJqUJtQ"
"1","2023/03/22","IKEA Tokyo-Bay","-5492","三井住友カード","日用品","DIY用品","","0","VsoaeLaf6136IiKPM9PBUw"
"1","2023/03/22","HAMANO COFFEE","-1490","三井住友カード","食費","外食","","0","GzJAn98Eosvx0CHYctkmGQ"
"1","2023/03/22","タイヨー ビッグハウス印西店","-3553","三井住友カード","食費","食費","","0","hbRZaJmKjJlPDaJy43kMhg"
"1","2023/03/21","イオンモール千葉ニュータウン","-149","三井住友カード","食費","食費","","0","Mnr6etzqBelEcxSZ0yBX9g"
